gss-code,year,dwellings
E07000112,2015,50400
E07000113,2011,57990
E07000113,2012,58390
E07000113,2013,58680
E07000113,2014,59040
E07000113,2015,59580
E07000114,2011,65000
E07000114,2012,65320
E07000114,2013,65510
E07000114,2014,65830
E07000114,2015,66220
E07000115,2011,49970
E07000115,2012,50420
E07000115,2013,50810
E07000115,2014,51380
E07000115,2015,51850
E07000116,2011,48920
E07000116,2012,49130
E07000116,2013,49130
E07000116,2014,49110
E07000116,2015,49440
E07000117,2011,39940
E07000117,2012,39890
E07000117,2013,39910
E07000117,2014,40060
E07000117,2015,40090
E07000118,2011,46770
E07000118,2012,47320
E07000118,2013,47960
E07000118,2014,48540
E07000118,2015,49260
E07000119,2011,37360
E07000119,2012,37500
E07000119,2013,37660
E07000119,2014,37890
E07000119,2015,38100
E07000120,2011,35980
E07000120,2012,36040
E07000120,2013,36050
E07000120,2014,36250
E07000120,2015,36400
E07000121,2011,60760
E07000121,2012,60860
E07000121,2013,61020
E07000121,2014,61160
E07000121,2015,61580
E07000122,2011,39380
E07000122,2012,39440
E07000122,2013,39470
E07000122,2014,39540
E07000122,2015,39620
E07000123,2011,60340
E07000123,2012,60510
E07000123,2013,60610
E07000123,2014,60770
E07000123,2015,61290
E07000124,2011,25020
E07000124,2012,25160
E07000124,2013,25340
E07000124,2014,25510
E07000124,2015,25860
E07000125,2011,30850
E07000125,2012,30960
E07000125,2013,31120
E07000125,2014,31360
E07000125,2015,31590
E07000126,2011,47700
E07000126,2012,47900
E07000126,2013,48060
E07000126,2014,48270
E07000126,2015,48740
E07000127,2011,47970
E07000127,2012,48210
E07000127,2013,48340
E07000127,2014,48710
E07000127,2015,49080
E07000128,2011,49990
E07000128,2012,50200
E07000128,2013,50380
E07000128,2014,50570
E07000128,2015,50860
E07000129,2011,39670
E07000129,2012,39940
E07000129,2013,40230
E07000129,2014,40540
E07000129,2015,40950
E07000130,2011,69220
E07000130,2012,69920
E07000130,2013,70420
E07000130,2014,71020
E07000130,2015,71750
E07000131,2011,36100
E07000131,2012,36340
E07000131,2013,36640
E07000131,2014,36980
E07000131,2015,37480
E07000132,2011,46910
E07000132,2012,47280
E07000132,2013,47510
E07000132,2014,47990
E07000132,2015,48740
E07000133,2011,22190
E07000133,2012,22340
E07000133,2013,22410
E07000133,2014,22460
E07000133,2015,22540
E07000134,2011,40460
E07000134,2012,40690
E07000134,2013,41010
E07000134,2014,41440
E07000134,2015,42140
E07000135,2011,22480
E07000135,2012,22560
E07000135,2013,22600
E07000135,2014,22650
E07000135,2015,22770
E07000136,2011,28350
E07000136,2012,28440
E07000136,2013,28500
E07000136,2014,28670
E07000136,2015,28780
E07000137,2011,65110
E07000137,2012,65370
E07000137,2013,65600
E07000137,2014,65930
E07000137,2015,66430
E07000138,2011,42560
E07000138,2012,42990
E07000138,2013,43200
E07000138,2014,43450
E07000138,2015,43620
E07000139,2011,47550
E07000139,2012,48120
E07000139,2013,48440
E07000139,2014,48680
E07000139,2015,49120
E07000140,2011,38660
E07000140,2012,38830
E07000140,2013,39030
E07000140,2014,39280
E07000140,2015,39540
E07000141,2011,59530
E07000141,2012,60000
E07000141,2013,60500
E07000141,2014,61030
E07000141,2015,61670
E07000142,2011,40200
E07000142,2012,40420
E07000142,2013,40660
E07000142,2014,40980
E07000142,2015,41370
E07000143,2011,57430
E07000143,2012,57770
E07000143,2013,58100
E07000143,2014,58520
E07000143,2015,59010
E07000144,2011,54860
E07000144,2012,55090
E07000144,2013,55270
E07000144,2014,55640
E07000144,2015,56070
E07000145,2011,44360
E07000145,2012,44540
E07000145,2013,44720
E07000145,2014,44880
E07000145,2015,45060
E07000146,2011,73960
E07000146,2012,74590
E07000146,2013,74910
E07000146,2014,75280
E07000146,2015,75570
E07000147,2011,53220
E07000147,2012,53560
E07000147,2013,53800
E07000147,2014,54130
E07000147,2015,54630
E07000148,2011,63310
E07000148,2012,63590
E07000148,2013,63970
E07000148,2014,64230
E07000148,2015,64480
E07000149,2011,54620
E07000149,2012,55290
E07000149,2013,55960
E07000149,2014,56640
E07000149,2015,57670
E07000150,2011,26180
E07000150,2012,26660
E07000150,2013,27150
E07000150,2014,27480
E07000150,2015,27870
E07000151,2011,32620
E07000151,2012,32760
E07000151,2013,32880
E07000151,2014,33110
E07000151,2015,33500
E07000152,2011,37330
E07000152,2012,37510
E07000152,2013,37760
E07000152,2014,38070
E07000152,2015,38530
E07000153,2011,41460
E07000153,2012,41780
E07000153,2013,42130
E07000153,2014,42670
E07000153,2015,42950
E07000154,2011,91480
E07000154,2012,91910
E07000154,2013,92420
E07000154,2014,93260
E07000154,2015,94090
E07000155,2011,36040
E07000155,2012,36370
E07000155,2013,36590
E07000155,2014,36930
E07000155,2015,37270
E07000156,2011,33080
E07000156,2012,33220
E07000156,2013,33340
