gss.code,sex,age,year,popn
E06000005,F,8,2020,664.697081075
E06000005,F,8,2021,643.3485489426
E06000005,F,8,2022,562.2812493571
E06000005,F,8,2023,587.3241035998
E06000005,F,8,2024,588.1552236024
E06000005,F,8,2025,586.8549702526
E06000005,F,8,2026,586.9334152529
E06000005,F,8,2027,585.160194801
E06000005,F,8,2028,582.275377684
E06000005,F,8,2029,578.7024488687
E06000005,F,8,2030,575.476206817
E06000005,F,8,2031,570.3680050461
E06000005,F,8,2032,567.724759179
E06000005,F,8,2033,563.8753664428
E06000005,F,8,2034,561.5734143503
E06000005,F,8,2035,558.8529277387
E06000005,F,8,2036,555.9916617644
E06000005,F,8,2037,554.0344843358
E06000005,F,9,2011,521
E06000005,F,9,2012,564
E06000005,F,9,2013,591
E06000005,F,9,2014,577
E06000005,F,9,2015,647
E06000005,F,9,2016,632.0833333333
E06000005,F,9,2017,686.776366843
E06000005,F,9,2018,632.6737414344
E06000005,F,9,2019,635.5261585862
E06000005,F,9,2020,620.6084857759
E06000005,F,9,2021,663.697081075
E06000005,F,9,2022,642.3485489426
E06000005,F,9,2023,561.2812493571
E06000005,F,9,2024,586.3241035998
E06000005,F,9,2025,587.1552236024
E06000005,F,9,2026,585.8549702526
E06000005,F,9,2027,585.9334152529
E06000005,F,9,2028,584.160194801
E06000005,F,9,2029,581.275377684
E06000005,F,9,2030,577.7024488687
E06000005,F,9,2031,574.476206817
E06000005,F,9,2032,569.3680050461
E06000005,F,9,2033,566.724759179
E06000005,F,9,2034,562.8753664428
E06000005,F,9,2035,560.5734143503
E06000005,F,9,2036,557.8529277387
E06000005,F,9,2037,554.9916617644
E06000005,F,10,2011,556
E06000005,F,10,2012,521
E06000005,F,10,2013,562
E06000005,F,10,2014,588
E06000005,F,10,2015,576.9166666667
E06000005,F,10,2016,646.9166666667
E06000005,F,10,2017,632
E06000005,F,10,2018,686.6930335097
E06000005,F,10,2019,632.5904081011
E06000005,F,10,2020,635.4428252529
E06000005,F,10,2021,620.5251524426
E06000005,F,10,2022,663.6137477416
E06000005,F,10,2023,642.2652156093
E06000005,F,10,2024,561.1979160237
E06000005,F,10,2025,586.2407702665
E06000005,F,10,2026,587.0718902691
E06000005,F,10,2027,585.7716369192
E06000005,F,10,2028,585.8500819195
E06000005,F,10,2029,584.0768614677
E06000005,F,10,2030,581.1920443507
E06000005,F,10,2031,577.6191155353
E06000005,F,10,2032,574.3928734836
E06000005,F,10,2033,569.2846717128
E06000005,F,10,2034,566.6414258457
E06000005,F,10,2035,562.7920331094
E06000005,F,10,2036,560.4900810169
E06000005,F,10,2037,557.7695944054
E06000005,F,11,2011,598
E06000005,F,11,2012,557
E06000005,F,11,2013,521
E06000005,F,11,2014,568
E06000005,F,11,2015,589.5833333333
E06000005,F,11,2016,578.5
E06000005,F,11,2017,648.5
E06000005,F,11,2018,633.5833333333
E06000005,F,11,2019,688.276366843
E06000005,F,11,2020,634.1737414344
E06000005,F,11,2021,637.0261585862
E06000005,F,11,2022,622.1084857759
E06000005,F,11,2023,665.197081075
E06000005,F,11,2024,643.8485489426
E06000005,F,11,2025,562.7812493571
E06000005,F,11,2026,587.8241035998
E06000005,F,11,2027,588.6552236024
E06000005,F,11,2028,587.3549702526
E06000005,F,11,2029,587.4334152529
E06000005,F,11,2030,585.660194801
E06000005,F,11,2031,582.775377684
E06000005,F,11,2032,579.2024488687
E06000005,F,11,2033,575.976206817
E06000005,F,11,2034,570.8680050461
E06000005,F,11,2035,568.224759179
E06000005,F,11,2036,564.3753664428
E06000005,F,11,2037,562.0734143503
E06000005,F,12,2011,676
E06000005,F,12,2012,584
E06000005,F,12,2013,563
E06000005,F,12,2014,526
E06000005,F,12,2015,563.5007360673
