ONScode,AreaName,Age,Gender,Relationship,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
E06000005,Darlington,30_34,F,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,35_39,F,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,40_44,F,C,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
E06000005,Darlington,45_49,F,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,50_54,F,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,55_59,F,C,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
E06000005,Darlington,60_64,F,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,65_69,F,C,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
E06000005,Darlington,70_74,F,C,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,5,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
E06000005,Darlington,75_79,F,C,0,0,0,0,0,0,0,0,0,0,0,2,4,6,8,9,11,12,14,16,18,19,20,21,21,21,21,21,22,23,24,28,29,30,30,31,29,29,29,28,28,29,30,31,32,33,34
E06000005,Darlington,80_84,F,C,0,0,0,0,0,0,0,0,0,0,0,2,4,6,9,11,13,15,17,19,21,21,22,22,24,25,27,29,30,31,31,31,32,33,35,37,42,45,46,47,47,45,45,45,45,45,46
E06000005,Darlington,85&,F,C,0,0,0,0,0,0,0,0,0,0,0,2,4,7,10,13,17,21,24,29,34,36,37,40,42,45,47,51,53,58,62,67,72,77,81,85,88,93,99,104,111,123,130,136,143,149,154
E06000005,Darlington,TOT,F,C,0,0,0,0,0,0,0,0,0,0,0,8,17,26,35,44,54,64,73,85,95,99,102,106,110,114,118,123,128,134,141,149,156,163,169,175,183,190,196,203,210,220,228,235,243,250,258
E06000005,Darlington,0_4,F,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,5_9,F,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,10_14,F,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,15_19,F,P,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,20_24,F,P,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,25_29,F,P,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,30_34,F,P,0,0,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
E06000005,Darlington,35_39,F,P,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,40_44,F,P,3,3,4,4,4,4,5,5,5,6,6,5,5,4,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E06000005,Darlington,45_49,F,P,6,6,6,6,6,5,5,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E06000005,Darlington,50_54,F,P,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
E06000005,Darlington,55_59,F,P,5,6,6,7,7,8,8,9,9,10,11,11,11,10,9,8,7,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
E06000005,Darlington,60_64,F,P,13,12,12,11,10,10,9,9,8,8,7,7,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
E06000005,Darlington,65_69,F,P,25,25,25,25,25,25,25,25,25,26,27,26,25,23,21,19,16,14,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
E06000005,Darlington,70_74,F,P,43,45,47,48,47,47,47,46,46,45,44,40,37,34,32,30,28,26,24,22,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
E06000005,Darlington,75_79,F,P,181,167,151,138,133,132,129,126,121,109,98,92,85,79,73,66,61,57,51,48,45,46,46,47,47,46,44,43,43,44,46,50,53,53,54,54,51,50,49,48,48,48,50,50,52,53,53
E06000005,Darlington,80_84,F,P,199,194,190,182,183,174,163,153,141,138,143,142,141,139,132,123,116,109,105,100,91,89,89,86,88,90,92,94,97,96,94,92,89,90,92,97,108,113,114,116,116,110,107,106,104,103,105
E06000005,Darlington,85&,F,P,419,419,429,427,419,420,413,415,407,403,378,356,350,344,345,347,354,354,346,355,359,365,365,374,379,381,386,394,398,410,422,437,453,467,478,485,493,500,517,535,555,595,620,637,655,672,683
E06000005,Darlington,TOT,F,P,905,888,879,857,843,833,812,800,774,755,724,689,669,648,631,612,600,584,560,554,540,545,545,552,559,562,567,576,582,595,607,624,640,656,670,682,697,709,726,744,765,798,822,839,856,873,886
E06000005,Darlington,0_4,F,S,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
E06000005,Darlington,5_9,F,S,15,14,12,11,9,8,6,5,3,1,0,0,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
E06000005,Darlington,10_14,F,S,36,35,33,31,29,27,25,24,21,19,17,17,17,17,17,17,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
E06000005,Darlington,15_19,F,S,49,46,44,41,40,40,40,42,40,39,39,41,42,43,44,46,47,46,46,44,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
E06000005,Darlington,20_24,F,S,14,15,16,17,17,16,16,16,16,18,20,20,19,18,18,19,19,20,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
E06000005,Darlington,25_29,F,S,27,27,25,25,25,24,22,21,18,14,11,11,11,12,13,14,15,16,17,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
E06000005,Darlington,30_34,F,S,18,20,20,21,22,22,21,20,19,18,16,16,15,15,15,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
E06000005,Darlington,35_39,F,S,11,12,14,15,16,16,17,17,16,16,15,15,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
E06000005,Darlington,40_44,F,S,16,15,15,14,14,14,13,12,11,10,9,9,9,9,9,9,9,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
E06000005,Darlington,45_49,F,S,15,17,18,19,19,19,18,17,16,16,16,15,15,14,14,13,12,11,10,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
E06000005,Darlington,50_54,F,S,15,15,15,14,15,15,16,17,16,15,14,13,12,12,11,11,11,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
E06000005,Darlington,55_59,F,S,14,14,14,15,15,15,14,14,13,14,14,15,15,15,14,14,12,11,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
E06000005,Darlington,60_64,F,S,18,17,16,15,14,14,14,13,13,13,12,11,11,11,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
E06000005,Darlington,65_69,F,S,26,25,23,22,21,19,18,17,16,15,15,14,14,13,12,11,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
E06000005,Darlington,70_74,F,S,19,20,21,21,20,20,20,19,18,18,17,16,15,14,13,13,12,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
E06000005,Darlington,75_79,F,S,33,30,26,24,22,22,21,20,19,17,15,14,13,13,12,11,10,10,9,9,8,9,8,8,8,8,8,7,7,7,8,9,10,10,11,11,11,12,13,13,14,15,17,18,20,22,24
E06000005,Darlington,80_84,F,S,32,31,31,30,30,28,27,25,23,23,24,24,24,24,23,21,20,19,18,18,16,15,15,15,15,15,15,15,15,14,14,13,13,13,14,14,16,18,19,20,21,21,22,24,25,27,29
E06000005,Darlington,85&,F,S,77,76,77,76,74,73,71,71,69,68,63,59,58,56,55,55,55,53,51,50,48,48,48,48,48,47,47,47,46,47,47,48,48,49,49,48,48,48,49,50,51,55,58,60,62,64,65
E06000005,Darlington,TOT,F,S,434,428,421,411,400,392,379,368,349,334,317,312,308,304,301,299,297,292,285,279,271,270,269,269,268,267,267,267,266,267,267,268,269,270,271,272,274,275,278,280,284,289,294,299,305,310,316
